
************************************************************
Session started: 2026-05-15 12:01:40.140119
************************************************************
[CRITICAL] 05/15-12:02:08.091448 | TCP SYN flood detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.091448 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.099965 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.100590 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.101887 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.106115 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.106933 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.107769 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.112210 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.113086 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.116887 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[CRITICAL] 05/15-12:02:08.117815 | TCP SYN flood detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.117815 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.067908 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.069676 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.069676 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.070838 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.071973 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.071973 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.073820 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.075267 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.075267 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.076506 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.077705 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.077705 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.078722 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.079749 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.079749 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.080787 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.081729 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.081729 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.082404 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.083000 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
